case,cache,stage,metric,unit,value
h96_n1,cold,k2,device__attribute_pageable_memory_access_uses_host_page_tables,,0
h96_n1,cold,k2,device__attribute_pci_bus_id,,12
h96_n1,cold,k2,device__attribute_pci_device_id,,0
h96_n1,cold,k2,device__attribute_pci_domain_id,,0
h96_n1,cold,k2,device__attribute_ram_location,,1
h96_n1,cold,k2,device__attribute_ram_type,,0
h96_n1,cold,k2,device__attribute_reserved_shared_memory_per_block,,1024
h96_n1,cold,k2,device__attribute_sass_level,,10
h96_n1,cold,k2,device__attribute_single_to_double_precision_perf_ratio,,64
h96_n1,cold,k2,device__attribute_sparse_cuda_array_supported,,1
h96_n1,cold,k2,device__attribute_stream_priorities_supported,,1
h96_n1,cold,k2,device__attribute_surface_alignment,,512
h96_n1,cold,k2,device__attribute_tcc_driver,,0
h96_n1,cold,k2,device__attribute_tensor_map_access_supported,,1
h96_n1,cold,k2,device__attribute_texture_alignment,,512
h96_n1,cold,k2,device__attribute_texture_pitch_alignment,,32
h96_n1,cold,k2,device__attribute_total_constant_memory,,65536
h96_n1,cold,k2,device__attribute_total_memory,,287428640768
h96_n1,cold,k2,device__attribute_unified_addressing,,1
h96_n1,cold,k2,device__attribute_unified_function_pointers,,1
h96_n1,cold,k2,device__attribute_virtual_address_management_supported,,1
h96_n1,cold,k2,device__attribute_warp_size,,32
h96_n1,cold,k2,dram__bytes_read.avg,byte,13837484
h96_n1,cold,k2,dram__bytes_read.max,byte,14760704
h96_n1,cold,k2,dram__bytes_read.min,byte,7380480
h96_n1,cold,k2,dram__bytes_read.sum,byte,885598976
h96_n1,cold,k2,dram__bytes_write.avg,byte,2921036
h96_n1,cold,k2,dram__bytes_write.max,byte,3138048
h96_n1,cold,k2,dram__bytes_write.min,byte,1507584
h96_n1,cold,k2,dram__bytes_write.sum,byte,186946304
h96_n1,cold,k2,dram__throughput.avg.pct_of_peak_sustained_elapsed,%,18.68
h96_n1,cold,k2,dram__throughput.max.pct_of_peak_sustained_elapsed,%,18.71
h96_n1,cold,k2,dram__throughput.min.pct_of_peak_sustained_elapsed,%,18.58
h96_n1,cold,k2,dram__throughput.sum.pct_of_peak_sustained_elapsed,%,18.68
h96_n1,cold,k2,gpc__cycles_elapsed.avg.per_second,hz,1904972751.13
h96_n1,cold,k2,gpc__cycles_elapsed.max.per_second,hz,1906197881.03
h96_n1,cold,k2,gpc__cycles_elapsed.min.per_second,hz,1901938825.69
h96_n1,cold,k2,gpc__cycles_elapsed.sum.per_second,hz,15239782009.07
h96_n1,cold,k2,gpu__time_duration.avg,ns,748288
h96_n1,cold,k2,gpu__time_duration.max,ns,748288
h96_n1,cold,k2,gpu__time_duration.min,ns,748288
h96_n1,cold,k2,gpu__time_duration.sum,ns,748288
h96_n1,cold,k2,gr__workids_granted.avg,,0
h96_n1,cold,k2,gr__workids_granted.max,,0
h96_n1,cold,k2,gr__workids_granted.min,,0
h96_n1,cold,k2,gr__workids_granted.sum,,0
h96_n1,cold,k2,gr__workids_granted_as_ctas.avg,block,0
h96_n1,cold,k2,gr__workids_granted_as_ctas.max,block,0
h96_n1,cold,k2,gr__workids_granted_as_ctas.min,block,0
h96_n1,cold,k2,gr__workids_granted_as_ctas.sum,block,0
h96_n1,cold,k2,gr__workids_requested.avg,,0
h96_n1,cold,k2,gr__workids_requested.max,,0
h96_n1,cold,k2,gr__workids_requested.min,,0
h96_n1,cold,k2,gr__workids_requested.sum,,0
h96_n1,cold,k2,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.avg,,19207.43
h96_n1,cold,k2,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.max,,33023
h96_n1,cold,k2,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.min,,0
h96_n1,cold,k2,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum,,2842700
h96_n1,cold,k2,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.avg,,72477.47
h96_n1,cold,k2,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.max,,119304
h96_n1,cold,k2,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.min,,0
h96_n1,cold,k2,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum,,10726666
h96_n1,cold,k2,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,%,39.02
h96_n1,cold,k2,l1tex__throughput.max.pct_of_peak_sustained_elapsed,%,60.75
h96_n1,cold,k2,l1tex__throughput.min.pct_of_peak_sustained_elapsed,%,0.00
h96_n1,cold,k2,l1tex__throughput.sum.pct_of_peak_sustained_elapsed,%,39.02
h96_n1,cold,k2,launch__barrier_count,,9
h96_n1,cold,k2,launch__block_dim_x,block,192
h96_n1,cold,k2,launch__block_dim_y,block,1
h96_n1,cold,k2,launch__block_dim_z,block,1
h96_n1,cold,k2,launch__block_size,,192
h96_n1,cold,k2,launch__cluster_dim_x,,0
h96_n1,cold,k2,launch__cluster_dim_y,,0
h96_n1,cold,k2,launch__cluster_dim_z,,0
h96_n1,cold,k2,launch__cluster_max_active,cluster,0
h96_n1,cold,k2,launch__cluster_max_potential_size,block,8
h96_n1,cold,k2,launch__cluster_scheduling_policy,,PolicySpread
h96_n1,cold,k2,launch__cluster_size,,0
h96_n1,cold,k2,launch__context_id,,1
h96_n1,cold,k2,launch__device_id,,0
h96_n1,cold,k2,launch__func_cache_config,,CachePreferNone
h96_n1,cold,k2,launch__function_pcs,,1
h96_n1,cold,k2,launch__grid_dim_x,,1
h96_n1,cold,k2,launch__grid_dim_y,,96
h96_n1,cold,k2,launch__grid_dim_z,,1
h96_n1,cold,k2,launch__grid_size,,96
h96_n1,cold,k2,launch__occupancy_cluster_gpu_pct,%,0
h96_n1,cold,k2,launch__occupancy_cluster_pct,%,0
h96_n1,cold,k2,launch__occupancy_limit_barriers,block,7
h96_n1,cold,k2,launch__occupancy_limit_blocks,block,32
h96_n1,cold,k2,launch__occupancy_limit_registers,block,4
h96_n1,cold,k2,launch__occupancy_limit_shared_mem,block,2
h96_n1,cold,k2,launch__occupancy_limit_warps,block,10
h96_n1,cold,k2,launch__occupancy_per_barrier_count,,588
h96_n1,cold,k2,launch__occupancy_per_block_size,,758
h96_n1,cold,k2,launch__occupancy_per_cluster_size,,0
h96_n1,cold,k2,launch__occupancy_per_register_count,,2556
h96_n1,cold,k2,launch__occupancy_per_shared_mem_size,,5292
h96_n1,cold,k2,launch__persisting_l2_cache_size,byte,24870912
h96_n1,cold,k2,launch__preferred_cluster_dim_x,,0
h96_n1,cold,k2,launch__preferred_cluster_dim_y,,0
h96_n1,cold,k2,launch__preferred_cluster_dim_z,,0
h96_n1,cold,k2,launch__preferred_cluster_size,,0
h96_n1,cold,k2,launch__registers_per_thread,register/thread,73
h96_n1,cold,k2,launch__registers_per_thread_allocated,register/thread,80
h96_n1,cold,k2,launch__shared_mem_config_size,byte,200704
h96_n1,cold,k2,launch__shared_mem_per_block,byte/block,99456
h96_n1,cold,k2,launch__shared_mem_per_block_allocated,byte/block,99456
h96_n1,cold,k2,launch__shared_mem_per_block_driver,byte/block,1024
h96_n1,cold,k2,launch__shared_mem_per_block_dynamic,byte/block,98432
h96_n1,cold,k2,launch__shared_mem_per_block_static,byte/block,0
h96_n1,cold,k2,launch__sm_count,SM,148
h96_n1,cold,k2,launch__stack_size,,1024
h96_n1,cold,k2,launch__stream_id,,7
h96_n1,cold,k2,launch__thread_count,thread,18432
h96_n1,cold,k2,launch__tpc_count,,74
h96_n1,cold,k2,launch__tpc_enabled,,all
h96_n1,cold,k2,launch__uses_cdp,,0
h96_n1,cold,k2,launch__uses_green_context,,0
h96_n1,cold,k2,launch__uses_mps,,0
h96_n1,cold,k2,launch__uses_nvlink_centric_scheduling,,0
h96_n1,cold,k2,launch__uses_vgpu,,0
h96_n1,cold,k2,launch__waves_per_multiprocessor,,0.32
h96_n1,cold,k2,lts__t_sector_hit_rate.pct,%,53.00
h96_n1,cold,k2,lts__t_sectors.avg,sector,552958.32
h96_n1,cold,k2,lts__t_sectors.max,sector,595341
h96_n1,cold,k2,lts__t_sectors.min,sector,268707
h96_n1,cold,k2,lts__t_sectors.sum,sector,101744331
h96_n1,cold,k2,lts__throughput.avg.pct_of_peak_sustained_elapsed,%,27.11
h96_n1,cold,k2,lts__throughput.max.pct_of_peak_sustained_elapsed,%,29.48
h96_n1,cold,k2,lts__throughput.min.pct_of_peak_sustained_elapsed,%,13.06
h96_n1,cold,k2,lts__throughput.sum.pct_of_peak_sustained_elapsed,%,27.11
h96_n1,cold,k2,numa__cpu_affinity,,1
h96_n1,cold,k2,numa__dev_display_name_all,,1
h96_n1,cold,k2,numa__id_cpu,,1
h96_n1,cold,k2,numa__id_memory,,1
h96_n1,cold,k2,nvlink__bandwidth,,0
h96_n1,cold,k2,nvlink__count_logical,,0
h96_n1,cold,k2,nvlink__count_physical,,0
h96_n1,cold,k2,nvlink__destination_ports,,0
h96_n1,cold,k2,nvlink__dev0Id,,0
h96_n1,cold,k2,nvlink__dev0type,,0
h96_n1,cold,k2,nvlink__dev1Id,,0
h96_n1,cold,k2,nvlink__dev1type,,0
h96_n1,cold,k2,nvlink__dev_display_name_all,,1
h96_n1,cold,k2,nvlink__enabled_mask,,262143
h96_n1,cold,k2,nvlink__is_direct_link,,0
h96_n1,cold,k2,nvlink__is_nvswitch_connected,,0
h96_n1,cold,k2,nvlink__max_count,,18
h96_n1,cold,k2,nvlink__peer_access,,0
h96_n1,cold,k2,nvlink__peer_atomic,,0
h96_n1,cold,k2,nvlink__source_ports,,0
h96_n1,cold,k2,nvlink__system_access,,0
h96_n1,cold,k2,nvlink__system_atomic,,0
h96_n1,cold,k2,profiler__perfworks_session_reuse,,0
h96_n1,cold,k2,profiler__replayer_bytes_mem_accessible.avg,byte,1921438699
h96_n1,cold,k2,profiler__replayer_bytes_mem_accessible.max,byte,1921438699
h96_n1,cold,k2,profiler__replayer_bytes_mem_accessible.min,byte,1921438699
h96_n1,cold,k2,profiler__replayer_bytes_mem_accessible.sum,byte,28821580485
h96_n1,cold,k2,profiler__replayer_bytes_mem_backed_up.avg,byte,1921438699
h96_n1,cold,k2,profiler__replayer_bytes_mem_backed_up.max,byte,1921438699
h96_n1,cold,k2,profiler__replayer_bytes_mem_backed_up.min,byte,1921438699
h96_n1,cold,k2,profiler__replayer_bytes_mem_backed_up.sum,byte,28821580485
h96_n1,cold,k2,profiler__replayer_passes,pass,15
h96_n1,cold,k2,profiler__replayer_passes_type_warmup,pass,0
h96_n1,cold,k2,sm__cycles_active.avg,cycle,911536.66
h96_n1,cold,k2,sm__cycles_active.avg.pct_of_peak_sustained_elapsed,%,63.81
h96_n1,cold,k2,sm__cycles_active.max,cycle,1418769
h96_n1,cold,k2,sm__cycles_active.max.pct_of_peak_sustained_elapsed,%,99.31
h96_n1,cold,k2,sm__cycles_active.min,cycle,0
h96_n1,cold,k2,sm__cycles_active.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,cold,k2,sm__cycles_active.sum,cycle,134907426
h96_n1,cold,k2,sm__cycles_active.sum.pct_of_peak_sustained_elapsed,%,63.81
h96_n1,cold,k2,sm__inst_executed_pipe_adu.avg.pct_of_peak_sustained_elapsed,%,2.12
h96_n1,cold,k2,sm__inst_executed_pipe_adu.max.pct_of_peak_sustained_elapsed,%,3.32
h96_n1,cold,k2,sm__inst_executed_pipe_adu.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,cold,k2,sm__inst_executed_pipe_adu.sum.pct_of_peak_sustained_elapsed,%,2.12
h96_n1,cold,k2,sm__inst_executed_pipe_alu.avg.pct_of_peak_sustained_elapsed,%,13.57
h96_n1,cold,k2,sm__inst_executed_pipe_alu.max.pct_of_peak_sustained_elapsed,%,20.92
h96_n1,cold,k2,sm__inst_executed_pipe_alu.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,cold,k2,sm__inst_executed_pipe_alu.sum.pct_of_peak_sustained_elapsed,%,13.57
h96_n1,cold,k2,sm__inst_executed_pipe_fma.avg.pct_of_peak_sustained_elapsed,%,5.68
h96_n1,cold,k2,sm__inst_executed_pipe_fma.max.pct_of_peak_sustained_elapsed,%,8.76
h96_n1,cold,k2,sm__inst_executed_pipe_fma.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,cold,k2,sm__inst_executed_pipe_fma.sum.pct_of_peak_sustained_elapsed,%,5.68
h96_n1,cold,k2,sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_elapsed,%,10.70
h96_n1,cold,k2,sm__inst_executed_pipe_lsu.max.pct_of_peak_sustained_elapsed,%,16.49
h96_n1,cold,k2,sm__inst_executed_pipe_lsu.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,cold,k2,sm__inst_executed_pipe_lsu.sum.pct_of_peak_sustained_elapsed,%,10.70
h96_n1,cold,k2,sm__inst_executed_pipe_xu.avg.pct_of_peak_sustained_elapsed,%,0.19
h96_n1,cold,k2,sm__inst_executed_pipe_xu.max.pct_of_peak_sustained_elapsed,%,0.29
h96_n1,cold,k2,sm__inst_executed_pipe_xu.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,cold,k2,sm__inst_executed_pipe_xu.sum.pct_of_peak_sustained_elapsed,%,0.19
h96_n1,cold,k2,sm__issue_active.avg.pct_of_peak_sustained_elapsed,%,20.54
h96_n1,cold,k2,sm__issue_active.max.pct_of_peak_sustained_elapsed,%,31.68
h96_n1,cold,k2,sm__issue_active.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,cold,k2,sm__issue_active.sum.pct_of_peak_sustained_elapsed,%,20.54
h96_n1,cold,k2,sm__maximum_warps_avg_per_active_cycle,warp,12
h96_n1,cold,k2,sm__maximum_warps_per_active_cycle_pct,%,18.75
h96_n1,cold,k2,sm__ops_path_tensor_op_hmma_src_bf16_dst_fp32.avg,,565890961.30
h96_n1,cold,k2,sm__ops_path_tensor_op_hmma_src_bf16_dst_fp32.max,,872415232
h96_n1,cold,k2,sm__ops_path_tensor_op_hmma_src_bf16_dst_fp32.min,,0
h96_n1,cold,k2,sm__ops_path_tensor_op_hmma_src_bf16_dst_fp32.sum,,83751862272
h96_n1,cold,k2,sm__ops_path_tensor_op_hmma_src_fp16_dst_fp16.avg,,0
h96_n1,cold,k2,sm__ops_path_tensor_op_hmma_src_fp16_dst_fp16.max,,0
h96_n1,cold,k2,sm__ops_path_tensor_op_hmma_src_fp16_dst_fp16.min,,0
h96_n1,cold,k2,sm__ops_path_tensor_op_hmma_src_fp16_dst_fp16.sum,,0
h96_n1,cold,k2,sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_active,%,30.31
h96_n1,cold,k2,sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed,%,19.34
h96_n1,cold,k2,sm__pipe_tensor_cycles_active.max.pct_of_peak_sustained_active,%,46.73
h96_n1,cold,k2,sm__pipe_tensor_cycles_active.max.pct_of_peak_sustained_elapsed,%,29.82
h96_n1,cold,k2,sm__pipe_tensor_cycles_active.min.pct_of_peak_sustained_active,%,0
h96_n1,cold,k2,sm__pipe_tensor_cycles_active.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,cold,k2,sm__pipe_tensor_cycles_active.sum.pct_of_peak_sustained_active,%,30.31
h96_n1,cold,k2,sm__pipe_tensor_cycles_active.sum.pct_of_peak_sustained_elapsed,%,19.34
h96_n1,cold,k2,sm__throughput.avg.pct_of_peak_sustained_elapsed,%,20.54
h96_n1,cold,k2,sm__throughput.max.pct_of_peak_sustained_elapsed,%,31.68
h96_n1,cold,k2,sm__throughput.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,cold,k2,sm__throughput.sum.pct_of_peak_sustained_elapsed,%,20.54
h96_n1,cold,k2,sm__warps_active.avg.pct_of_peak_sustained_active,%,9.37
h96_n1,cold,k2,sm__warps_active.avg.per_cycle_active,warp,6.00
h96_n1,cold,k2,sm__warps_active.max.pct_of_peak_sustained_active,%,14.61
h96_n1,cold,k2,sm__warps_active.max.per_cycle_active,warp,9.35
h96_n1,cold,k2,sm__warps_active.min.pct_of_peak_sustained_active,%,0
h96_n1,cold,k2,sm__warps_active.min.per_cycle_active,warp,0
h96_n1,cold,k2,sm__warps_active.sum.pct_of_peak_sustained_active,%,9.37
h96_n1,cold,k2,sm__warps_active.sum.per_cycle_active,warp,887.50
h96_n1,cold,k2,smsp__issue_active.avg.pct_of_peak_sustained_active,%,32.20
h96_n1,cold,k2,smsp__issue_active.max.pct_of_peak_sustained_active,%,66.10
h96_n1,cold,k2,smsp__issue_active.min.pct_of_peak_sustained_active,%,0
h96_n1,cold,k2,smsp__issue_active.sum.pct_of_peak_sustained_active,%,32.20
h96_n1,cold,k2,smsp__maximum_warps_avg_per_active_cycle,warp,3
h96_n1,cold,k2,smsp__warp_issue_stalled_barrier_per_warp_active.pct,%,2.63
h96_n1,cold,k2,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,%,8.84
h96_n1,cold,k2,smsp__warp_issue_stalled_math_pipe_throttle_per_warp_active.pct,%,0.11
h96_n1,cold,k2,smsp__warp_issue_stalled_membar_per_warp_active.pct,%,0
h96_n1,cold,k2,smsp__warp_issue_stalled_mio_throttle_per_warp_active.pct,%,2.85
h96_n1,cold,k2,smsp__warp_issue_stalled_not_selected_per_warp_active.pct,%,1.03
h96_n1,cold,k2,smsp__warp_issue_stalled_short_scoreboard_per_warp_active.pct,%,16.60
h96_n1,cold,k2,smsp__warp_issue_stalled_wait_per_warp_active.pct,%,23.71
h96_n1,cold,k2,smsp__warps_active.avg.peak_sustained,warp,16
h96_n1,cold,k2,smsp__warps_active.max.peak_sustained,warp,16
h96_n1,cold,k2,smsp__warps_active.min.peak_sustained,warp,16
h96_n1,cold,k2,smsp__warps_active.sum.peak_sustained,warp,9472
h96_n1,cold,k2,smsp__warps_eligible.avg.per_cycle_active,warp,0.34
h96_n1,cold,k2,smsp__warps_eligible.max.per_cycle_active,warp,0.75
h96_n1,cold,k2,smsp__warps_eligible.min.per_cycle_active,warp,0
h96_n1,cold,k2,smsp__warps_eligible.sum.per_cycle_active,warp,199.80
h96_n1,warm,k1,c2clink__enabled_mask,,0
h96_n1,warm,k1,c2clink__present,,0
h96_n1,warm,k1,derived__pct_occupancy_per_barrier_count,,2230
h96_n1,warm,k1,derived__pct_occupancy_per_block_size,%,5190
h96_n1,warm,k1,derived__pct_occupancy_per_register_count,%/register,8524
h96_n1,warm,k1,derived__pct_occupancy_per_shared_mem_size,%/byte,14020
h96_n1,warm,k1,device__attribute_architecture,,416
h96_n1,warm,k1,device__attribute_async_engine_count,,4
h96_n1,warm,k1,device__attribute_can_flush_remote_writes,,0
h96_n1,warm,k1,device__attribute_can_map_host_memory,,1
h96_n1,warm,k1,device__attribute_can_tex2d_gather,,1
h96_n1,warm,k1,device__attribute_can_use_64_bit_stream_mem_ops,,1
h96_n1,warm,k1,device__attribute_can_use_64_bit_stream_mem_ops_v1,,0
h96_n1,warm,k1,device__attribute_can_use_host_pointer_for_registered_mem,,1
h96_n1,warm,k1,device__attribute_can_use_stream_mem_ops_v1,,0
h96_n1,warm,k1,device__attribute_can_use_stream_wait_value_nor,,1
h96_n1,warm,k1,device__attribute_can_use_stream_wait_value_nor_v1,,0
h96_n1,warm,k1,device__attribute_chip,,419
h96_n1,warm,k1,device__attribute_clock_rate,,2032000
h96_n1,warm,k1,device__attribute_cluster_launch,,1
h96_n1,warm,k1,device__attribute_compute_capability_major,,10
h96_n1,warm,k1,device__attribute_compute_capability_minor,,3
h96_n1,warm,k1,device__attribute_compute_mode,,0
h96_n1,warm,k1,device__attribute_compute_preemption_supported,,1
h96_n1,warm,k1,device__attribute_concurrent_kernels,,1
h96_n1,warm,k1,device__attribute_concurrent_managed_access,,1
h96_n1,warm,k1,device__attribute_confidential_computing_mode,,No-CC
h96_n1,warm,k1,device__attribute_cooperative_launch,,1
h96_n1,warm,k1,device__attribute_cooperative_multi_device_launch,,1
h96_n1,warm,k1,device__attribute_deferred_mapping_cuda_array_supported,,1
h96_n1,warm,k1,device__attribute_device_index,,0
h96_n1,warm,k1,device__attribute_direct_managed_mem_access_from_host,,0
h96_n1,warm,k1,device__attribute_display_name,,NVIDIA B300 SXM6 AC
h96_n1,warm,k1,device__attribute_dma_buf_supported,,1
h96_n1,warm,k1,device__attribute_ecc_enabled,,1
h96_n1,warm,k1,device__attribute_fb_bus_width,,7680
h96_n1,warm,k1,device__attribute_fbp_count,,16
h96_n1,warm,k1,device__attribute_generic_compression_supported,,1
h96_n1,warm,k1,device__attribute_global_l1_cache_supported,,1
h96_n1,warm,k1,device__attribute_global_memory_bus_width,,7680
h96_n1,warm,k1,device__attribute_gpu_direct_rdma_flush_writes_options,,1
h96_n1,warm,k1,device__attribute_gpu_direct_rdma_supported,,1
h96_n1,warm,k1,device__attribute_gpu_direct_rdma_with_cuda_vmm_supported,,1
h96_n1,warm,k1,device__attribute_gpu_direct_rdma_writes_ordering,,100
h96_n1,warm,k1,device__attribute_gpu_overlap,,1
h96_n1,warm,k1,device__attribute_gpu_pci_device_id,,830607582
h96_n1,warm,k1,device__attribute_gpu_pci_ext_device_id,,12674
h96_n1,warm,k1,device__attribute_gpu_pci_ext_downstream_link_rate,,16000
h96_n1,warm,k1,device__attribute_gpu_pci_ext_downstream_link_width,,32
h96_n1,warm,k1,device__attribute_gpu_pci_ext_gen,,5
h96_n1,warm,k1,device__attribute_gpu_pci_ext_gpu_gen,,5
h96_n1,warm,k1,device__attribute_gpu_pci_ext_gpu_link_rate,,64000
h96_n1,warm,k1,device__attribute_gpu_pci_ext_gpu_link_width,,16
h96_n1,warm,k1,device__attribute_gpu_pci_revision_id,,161
h96_n1,warm,k1,device__attribute_gpu_pci_sub_system_id,,551948510
h96_n1,warm,k1,device__attribute_handle_type_fabric_supported,,1
h96_n1,warm,k1,device__attribute_handle_type_posix_file_descriptor_supported,,1
h96_n1,warm,k1,device__attribute_handle_type_win32_handle_supported,,0
h96_n1,warm,k1,device__attribute_handle_type_win32_kmt_handle_supported,,0
h96_n1,warm,k1,device__attribute_host_native_atomic_supported,,0
h96_n1,warm,k1,device__attribute_host_numa_id,,0
h96_n1,warm,k1,device__attribute_host_register_supported,,1
h96_n1,warm,k1,device__attribute_implementation,,419
h96_n1,warm,k1,device__attribute_integrated,,0
h96_n1,warm,k1,device__attribute_ipc_event_supported,,1
h96_n1,warm,k1,device__attribute_kernel_exec_timeout,,0
h96_n1,warm,k1,device__attribute_l2_cache_size,,132644864
h96_n1,warm,k1,device__attribute_l2s_count,,192
h96_n1,warm,k1,device__attribute_limits_max_cta_per_sm,,32
h96_n1,warm,k1,device__attribute_limits_num_tpcs,,74
h96_n1,warm,k1,device__attribute_local_l1_cache_supported,,1
h96_n1,warm,k1,device__attribute_managed_memory,,1
h96_n1,warm,k1,device__attribute_max_access_policy_window_size,,134217728
h96_n1,warm,k1,device__attribute_max_block_dim_x,,1024
h96_n1,warm,k1,device__attribute_max_block_dim_y,,1024
h96_n1,warm,k1,device__attribute_max_block_dim_z,,64
h96_n1,warm,k1,device__attribute_max_blocks_per_multiprocessor,,32
h96_n1,warm,k1,device__attribute_max_gpu_frequency_khz,,2032000
h96_n1,warm,k1,device__attribute_max_grid_dim_x,,2147483647
h96_n1,warm,k1,device__attribute_max_grid_dim_y,,65535
h96_n1,warm,k1,device__attribute_max_grid_dim_z,,65535
h96_n1,warm,k1,device__attribute_max_ipc_per_multiprocessor,,4
h96_n1,warm,k1,device__attribute_max_ipc_per_scheduler,,1
h96_n1,warm,k1,device__attribute_max_mem_frequency_khz,,3996000
h96_n1,warm,k1,device__attribute_max_persisting_l2_cache_size,,82903040
